Name,Age,Rating,League,Season,Appearances,Mins,Position,Alt_Pos,Height,Foot,Goals,Assists,Shots_Per_Game,Xg/90,Avg_Passes,Key_Passes,Pass_Percentage,Dribbles,Tackles,Interceptions,Fouls,Clearances,Blocks,Ground_Duels_Won,Aerial_Duels_Won
Jack Marriott,30,6.17,League one,24/25,26,796,ST,N/A,1.73,Right,6,0,2.15,0.61,13.68,0.11,72.73,2.71,0.79,0.23,1.81,0.57,0.11,3.96,1.02
Jack Marriott,29,6.5,League one,23/24,24,1614,ST,N/A,1.73,Right,5,0,2.42,0.39,15.47,0.71,72.52,1.48,1.12,0.18,1.42,0.24,0.06,2.95,0.35
Jack Marriott,28,6.59,League one,22/23,40,2230,ST,N/A,1.73,Right,12,4,3.03,0.43,14.68,0.71,68.48,1.09,0.88,0.38,1.72,0.13,0.04,2.61,0.59
Matt Ritchie,35,6.93,Championship,24/25,39,2208,RM,"LM, LB",1.73,Left,5,1,1.17,0.24,27.25,1.78,73.29,0.97,1.29,0.36,1.54,0.81,0.12,3.84,1.05
Matt Ritchie,34,4.65,Premier League,23/24,13,116,RM,"LM, LB",1.73,Left,1,0,4.66,0.94,64.4,0,80.72,0.78,3.88,0,1.55,3.88,1.55,4.66,0
Matt Ritchie,33,3.31,Premier League,22/23,7,32,RM,"LM, LB",1.73,Left,0,0,0,0,81.56,2.81,79.31,2.81,0,2.81,0,0,0,5.62,2.81
Matt Ritchie,32,6.31,Premier League,21/22,18,1334,RM,"LM, LB",2.73,Left,0,2,0.33,0.01,33.72,1.94,77.98,0.4,1.47,0.87,0.87,1.54,0.13,3.21,0.87
Matt Ritchie,31,6.88,Premier League,20/21,18,1352,RM,"LM, LB",3.73,Left,0,2,0.33,0.01,28.99,1.65,76.03,0.99,0.66,0.79,0.79,2.71,0.07,3.24,0.79
Will Keane,32,6.11,Championship,24/25,27,1122,ST,N/A,1.88,Right,3,0,0.79,0.2,20.81,0.39,81.44,0.63,0.47,0.16,1.73,1.26,0.08,2.36,1.02
Will Keane,31,6.93,Championship,23/24,38,2630,ST,N/A,1.88,Right,13,3,1.16,0.36,19.53,0.48,77.93,0.99,0.99,0.34,1.57,0.82,0.14,3.42,1.27
Will Keane,30,6.82,Championship,22/23,43,3288,ST,N/A,1.88,Right,12,2,1.45,0.25,21.13,0.65,81.05,1.53,1.16,0.28,1.19,0.94,0.17,4.26,1.51
Will Keane,29,7.09,League one,21/22,44,3745,ST,N/A,1.88,Right,26,6,1.74,0.47,28.11,0.76,81.83,0.76,1.01,0.38,1.43,1.08,0.08,4.18,1.96
Will Keane,28,6.84,League one,20/21,32,2160,ST,N/A,1.88,Right,10,5,1.33,0.32,23.71,0.88,81.2,0.96,1.21,0.42,2.08,1.08,0.04,3.79,1.33
